Object Name,Object ID,Property ID,Index,Value,Description
Return Plenum Pressure Setpoint,analogValue:95,presentValue,,0.10,Return Plenum Pressure Setpoint
Return Plenum Pressure Deadband,analogValue:96,presentValue,,0.01,Return Plenum Pressure Deadband
Dehumidification Lockout Setpoint,analogValue:97,presentValue,,0.00,Dehumidification Lockout Setpoint
Emergency Compressor Lockout,analogValue:98,presentValue,,0.00,Emergency Compressor Lockout
Supply Air Dew Point Setpoint,analogValue:99,presentValue,,55.00,Supply Air Dew Point Setpoint
Cooling Enabled Status,binaryInput:1,presentValue,,Inactive,Cooling Enabled Status
Heating Enabled Status,binaryInput:2,presentValue,,Active,Heating Enabled Status
Economizer Enabled Status,binaryInput:3,presentValue,,Active,Economizer Enabled Status
Aux Heat Enabled Status,binaryInput:4,presentValue,,Inactive,Aux Heat Enabled Status
Emergency Heat Enabled Status,binaryInput:5,presentValue,,Inactive,Emergency Heat Enabled Status
Fan Proof of Airflow Status,binaryInput:6,presentValue,,Active,Fan Proof of Airflow Status
Exhaust Hood On/Off Status,binaryInput:7,presentValue,,Inactive,Exhaust Hood On/Off Status
Remote Forced Occupied Status,binaryInput:8,presentValue,,Inactive,Remote Forced Occupied Status
Remote Forced Cooling Status,binaryInput:9,presentValue,,Inactive,Remote Forced Cooling Status
Remote Forced Heating Status,binaryInput:10,presentValue,,Inactive,Remote Forced Heating Status
Remote Force Dehum Status,binaryInput:11,presentValue,,Inactive,Remote Force Dehum Status
Bad Supply Air Sensor,binaryInput:12,presentValue,,Inactive,Bad Supply Air Sensor
Bad Return Air Sensor,binaryInput:13,presentValue,,Inactive,Bad Return Air Sensor
Bad Outdoor Air Sensor,binaryInput:14,presentValue,,Inactive,Bad Outdoor Air Sensor
Bad Space Temp Sensor,binaryInput:15,presentValue,,Inactive,Bad Space Temp Sensor
Bad Carbon Dioxide Sensor,binaryInput:16,presentValue,,Inactive,Bad Carbon Dioxide Sensor
Bad Building Pressure Sensor,binaryInput:17,presentValue,,Inactive,Bad Building Pressure Sensor
Bad Outdoor Airflow Sensor,binaryInput:18,presentValue,,Inactive,Bad Outdoor Airflow Sensor
